BTC,ETH,ADA,BNB,XMR
30876.62,1134.56,0.31297,38.93,131.22
30837.51,1110.6,0.30751,38.585,129.88
29505.68,1065.82,0.28434,37.1723,124.2
30047.65,1124.24,0.30882,38.1438,126.23
30708.26,1157.27,0.3194,38.7545,128.33
30938.53,1160.59,0.32385,39.269,129.39
30932.25,1158.99,0.31906,39.4285,130.22
31821.92,1174.88,0.32536,39.7154,131.3
31550.69,1163.26,0.32377,39.6559,130.86
30830.04,1143.04,0.3161,39.2903,130.25
31513.41,1163.67,0.32438,39.8283,131.99
31414.58,1171.05,0.32632,40.0407,132.19
31379.75,1177.29,0.32765,40.0977,133.44
31723.19,1197.76,0.33111,40.4439,134.47
31566.47,1204.37,0.33432,40.4321,134.06
32163.2,1220.24,0.33876,40.9183,135.0
32545.4,1234.29,0.34237,40.9285,136.39
32497.3,1234.42,0.35141,40.7216,137.95
32409.3,1239.83,0.34985,40.6199,137.08
32362.39,1235.37,0.34931,40.6027,138.27
33313.98,1263.13,0.35474,41.4139,138.44
33630.71,1269.24,0.353,41.1518,139.02
33540.07,1250.12,0.35535,40.8965,138.7
33320.47,1244.38,0.34902,40.5102,138.44
32874.09,1226.07,0.34474,40.0715,135.34
32980.82,1234.0,0.34905,40.923,136.19
32720.02,1228.98,0.34984,40.4745,135.33
32725.42,1233.44,0.34916,40.6247,137.1
32283.66,1220.37,0.34664,40.3896,136.33
32391.34,1232.71,0.35014,40.7317,137.5
32615.74,1248.87,0.35104,41.0462,138.05
33375.99,1264.71,0.35371,41.0854,139.39
32856.55,1254.84,0.35329,41.1401,139.18
32965.04,1261.16,0.35631,41.2114,139.95
32975.24,1267.36,0.35247,41.7168,139.31
32484.74,1257.17,0.35238,41.1515,138.31
32373.03,1247.37,0.34605,40.8011,137.81
31678.14,1220.37,0.33784,39.8774,136.44
31633.32,1219.05,0.34018,39.82,136.24
31897.8,1233.03,0.34389,40.1562,137.35
31751.87,1220.37,0.34081,40.1562,138.05
31903.06,1231.39,0.34299,40.4572,137.82
32156.05,1244.23,0.34481,40.7154,137.2
32272.4,1254.05,0.35011,40.7444,137.89
32199.53,1250.15,0.34936,40.8666,138.75
32378.75,1259.1,0.34868,40.979,139.68
32219.33,1252.18,0.34719,40.8249,139.57
32373.36,1247.39,0.35025,40.7913,139.29
32074.26,1237.01,0.34561,40.5745,138.5
32100.29,1234.53,0.34588,40.9559,138.99
31898.38,1232.83,0.34432,40.7397,138.66
31884.92,1238.5,0.34163,40.7465,139.48
32112.07,1257.61,0.34295,41.0818,139.58
32493.62,1294.02,0.34865,41.4435,140.18
32825.72,1320.48,0.35033,41.6399,141.6
32886.72,1326.56,0.35251,41.7346,140.21
32764.95,1320.47,0.35124,41.9864,139.63
32807.25,1315.04,0.35204,41.8799,139.33
32642.77,1325.6,0.35568,41.9351,139.57
32674.54,1341.83,0.36383,42.0969,141.86
32723.63,1341.07,0.36265,41.8675,142.07
32861.94,1344.34,0.36625,42.107,142.1
32402.11,1326.75,0.35928,41.583,140.32
32270.94,1324.13,0.35845,41.3108,138.5
32094.29,1306.28,0.35093,41.0959,138.21
31989.09,1321.6,0.35446,41.144,138.66
31765.31,1329.56,0.35018,40.9833,137.53
31881.84,1359.09,0.35411,41.1894,138.05
31861.64,1350.32,0.35109,41.2167,137.97
31335.16,1327.62,0.34269,40.8084,135.21
31696.51,1343.78,0.34728,41.2799,136.6
31928.5,1353.12,0.34875,41.3854,136.65
32153.15,1369.0,0.35037,41.6733,137.12
32290.8,1393.92,0.35382,41.87,138.18
32610.46,1458.37,0.35959,42.4335,139.29
32885.3,1434.36,0.36343,42.48,139.29
32795.5,1429.98,0.36097,42.4245,138.7
33580.42,1427.5,0.3601,42.6671,139.85
33385.11,1423.36,0.35839,42.4631,139.97
