BTC,ETH,UNI,ADA,BNB,CAKE,XMR
40245.08,1220.2,6.0577,0.30556,42.7702,0.5805,142.32
39336.41,1186.49,5.9027,0.29816,41.9898,0.575,140.48
39012.2,1180.82,5.8108,0.29891,41.6905,0.574,140.91
39672.76,1197.38,5.9452,0.30387,41.921,0.5898,141.79
40210.38,1209.38,6.0432,0.30535,42.0544,0.5835,144.65
40384.95,1213.01,6.1745,0.30933,42.1699,0.5889,144.97
40431.01,1220.03,6.1574,0.30942,42.2159,0.5879,146.44
40621.39,1222.13,6.1428,0.3101,42.7811,0.5851,145.18
40928.87,1225.42,6.1659,0.31068,42.8922,0.5863,141.97
41110.06,1223.2,6.1154,0.32241,43.0816,0.5881,144.11
40883.32,1224.82,6.1154,0.32248,42.8101,0.5858,143.29
40603.07,1222.2,6.1226,0.32327,42.9379,0.5899,145.08
40083.07,1203.26,5.9986,0.31774,42.7432,0.5949,144.33
40509.06,1224.9,6.0865,0.32461,43.2215,0.6023,145.64
40734.39,1227.17,6.198,0.33397,43.8447,0.5949,146.45
40760.9,1232.08,6.2109,0.33829,43.8373,0.599,147.9
40733.63,1274.95,6.3411,0.33533,44.0491,0.5876,148.07
40856.19,1292.56,6.3132,0.33536,43.9927,0.582,147.09
40412.48,1290.95,6.3247,0.3305,43.77,0.5788,146.52
40239.25,1280.39,6.2399,0.33186,43.9642,0.578,147.73
40683.84,1293.05,6.4329,0.33201,44.6963,0.5896,150.44
41248.32,1326.87,6.4498,0.33265,44.2376,0.5917,150.18
41070.18,1342.07,6.3771,0.33555,44.4164,0.5902,150.26
40450.02,1315.1,6.267,0.32704,44.0323,0.583,149.59
40450.73,1322.52,6.2743,0.32836,44.2566,0.5746,156.95
40553.39,1318.95,6.402,0.33593,44.1198,0.5828,157.34
41020.69,1327.96,6.593,0.33848,44.4197,0.5871,157.53
41089.0,1348.42,6.545,0.33795,44.66,0.593,164.42
40904.7,1332.41,6.4546,0.33344,44.3743,0.5882,161.78
40855.06,1334.33,6.368,0.33107,44.3613,0.5958,160.87
40511.38,1321.9,6.2394,0.32056,43.93,0.5938,158.7
39250.0,1260.61,6.0001,0.30807,42.6344,0.5705,152.78
39604.9,1292.4,6.1151,0.31599,43.25,0.5788,156.66
39860.14,1311.84,6.1587,0.3195,43.5297,0.5839,165.64
39483.09,1297.83,6.0299,0.31052,42.8987,0.5721,158.71
39721.63,1304.88,6.101,0.31602,43.5949,0.574,164.0
39286.57,1299.17,6.006,0.31007,43.2094,0.5698,175.49
38614.23,1302.09,5.9896,0.30735,42.7711,0.5655,175.28
38108.75,1283.62,5.9068,0.30272,42.4232,0.5601,171.75
37452.53,1262.84,5.7956,0.29983,42.0886,0.5512,164.49
37728.9,1258.09,5.8292,0.30319,41.7509,0.5369,166.61
38047.13,1270.69,5.9624,0.30845,42.2287,0.5482,176.99
38446.7,1273.65,6.0278,0.30342,42.4489,0.5472,176.63
38162.04,1254.59,5.9817,0.30179,42.4485,0.5505,184.75
37196.92,1219.19,5.8757,0.29494,41.6814,0.5275,178.12
37233.18,1207.73,5.8254,0.29612,41.4105,0.5249,174.92
36334.6,1185.6,5.7636,0.28935,40.7433,0.52,164.48
